module                   files   lines   Ce   Ca      I
-------------------------------------------------------
App.kt                       1     449   12    0   1.00
JmApplication.kt             1      37    1    0   1.00
MainActivity.kt              1      46    1    0   1.00
di                           8     579   32    1   0.97
ui/screens                  46   16234   25    1   0.96
repository/impl              3     373   10    1   0.91
ui/viewModel                15    3120   25    3   0.89
ui/components               23    2100   11    2   0.85
ui/pagingSource              5     306    5    1   0.83
worker                       4     222    4    1   0.80
download/molecule            3     450   11    3   0.79
favorites/presentation       2     512    7    2   0.78
favorites/data              15    1219   10    3   0.77
download/coordinator         6     452    9    3   0.75
startup                      1      81    5    2   0.71
data/comic                   4     969    7    3   0.70
backup                       3     521    4    2   0.67
download/atom                3     178    4    2   0.67
download/export              2     261    4    2   0.67
favorites/usecase            2     477    6    3   0.67
reader/coordinator           1      92    2    1   0.67
reader/molecule              2     361    4    2   0.67
cache/migration              7     602    5    3   0.62
launcher                     1      86    3    2   0.60
retrofit/converter           2      87    3    2   0.60
retrofit/interceptor         3      62    3    2   0.60
reader                      16    2514    8    6   0.57
reader/atom                  3     408    4    3   0.57
cache/atom                   1      38    1    1   0.50
coil                         2     102    3    3   0.50
database                     1      44    3    3   0.50
database/converter           1      29    1    1   0.50
favorites/sync               4     314    4    4   0.50
retrofit                     4     120    3    3   0.50
ui/interaction               2     272    1    1   0.50
update                       4     437    3    3   0.50
session                      4     653    7    8   0.47
retrofit/service             2      20    2    3   0.40
network                      8     961    4    8   0.33
repository                   2      80    3    6   0.33
ui/glass                    10    1566    2    4   0.33
ui/theme                     6     471    2    4   0.33
storage                     14    1641    5   13   0.28
ui/models                    7     133    1    3   0.25
favorites/model              3     175    2    7   0.22
contentfilter                2     149    1    4   0.20
cache                        6     600    2   10   0.17
retrofit/model              16     324    1    5   0.17
core                         3     105    2   14   0.12
database/dao                 7     326    1    7   0.12
utils                       12     573    1   22   0.04
core/model                   4      69    0    7   0.00
core/network                 3      84    0   19   0.00
data                        15     317    0   24   0.00
database/model              13     188    0   11   0.00
download                     1       6    0    3   0.00
download/model               1      38    0    4   0.00
image                        3     695    0    7   0.00
ui/composable                1      36    0    0   0.00
ui/navigation                6     166    0    4   0.00
ui/state                     2      42    0    1   0.00

合计 353 个 Kotlin 文件 / 43572 行
